linkid,click_sum,pageview_sum,click_rate
00126b32-0c35-507b-981c-02c80d2aa8e7,2,2,1.0
004b9724-abca-5481-b6e9-6148a7ca00a5,1,1,1.0
0063a982-41cd-5629-96d0-e1c4dd72ea11,2,3,0.66666666666666663
006af6a0-1f0d-4b0c-93bf-756af9071c06,8,36,0.22222222222222221
00759b81-3f04-4a61-b934-f8fb3185f4a0,3,4,0.75
00760ee1-d400-5f81-a1a8-04cfd7e11006,1,1,1.0
00829040-ee01-4409-966d-d67c7965144a,22,39,0.5641025641025641
008dc615-0805-5f3b-835b-40f134c57f56,1,2,0.5
009193ee-c3df-4efa-88f2-feb37c0bfdf2,2,3,0.66666666666666663
00b2d90d-68ed-57aa-a2f6-9c3075143b30,1,1,1.0
00bc48d3-197c-5cc3-b4f6-f25f3135eaff,1,1,1.0
00de7566-f014-4d20-8616-82e4dea45b88,1,5,0.2
00f1527d-b611-5799-9cc7-1f15f294d18c,1,1,1.0
0102e0b6-81b6-56f9-ae22-bf7e99333e4f,2,2,1.0
011da6ef-b75a-5e89-b920-9b66fad30294,2,2,1.0
0121245e-5d0d-5920-9d1e-140e671c4a31,2,6,0.33333333333333331
013d5aa6-2862-5690-99e9-eb5f20130e75,1,1,1.0
01484c2b-bbd2-5421-90d3-377618f48bda,2,4,0.5
015533e6-1761-50d6-93ad-beb388a0f2fe,1,1,1.0
0168cd26-9c43-4591-8f47-2d6041ebc793,1,3,0.33333333333333331
01738a09-e36b-425e-98c1-3266af312635,1,2,0.5
01966594-3bd7-5589-b2be-a0ba58c911b9,1,1,1.0
019fa7e6-de0a-5bad-a109-0a04567858d4,1,1,1.0
01a2e44d-59e7-567a-84c9-506fbd1400c9,1,6,0.16666666666666666
01a8d06f-b2b4-4cf3-a0e1-f4a84f49f1ab,1,3,0.33333333333333331
01cbe9ef-aeea-5d96-aa06-77ed7673c2d2,1,1,1.0
01dc9a8c-98b3-4b5e-bc94-4e4b3c3877c6,1,1,1.0
0211bf4d-0e9d-46c2-889c-f97872280820,123,563,0.21847246891651864
02823b3f-4a07-43de-a4a2-fa9acfc2c55f,23,71,0.323943661971831
028ab79b-048d-4e96-a930-f08356783049,1,2,0.5
02b6599c-02fc-5cf0-a3f1-5f4b268e96aa,1,1,1.0
02cb5039-1d52-558e-a1a1-76073c52ab10,1,2,0.5
02cbb879-4055-4272-86c0-e31906ed6c0c,4,6,0.66666666666666663
02e38112-f7a0-5e6b-94fd-867ade319407,1,1,1.0
02f037af-0c46-4ee6-a0fa-08bc7d316fe0,80,176,0.45454545454545453
0305f7d2-9200-53d0-9152-0fcd739e0cfc,1,2,0.5
031979d8-da67-5cdd-b351-2aad3020d742,1,1,1.0
032aafb6-f965-5d4e-a50b-c32bc2fc3529,1,1,1.0
0332d8d1-de5f-4c65-b8d6-5cd5d67168df,4,11,0.36363636363636365
0335024b-aecd-59c2-81f2-c386705e90d7,1,1,1.0
033c7717-32c6-4e14-8e92-7ead24a478f2,2,2,1.0
034fe2c3-886b-547b-8c7d-428f6789a13b,1,3,0.33333333333333331
03534555-0e42-5ac3-9fc0-ae4815c1802c,2,2,1.0
0357a39e-7432-5681-9010-895893d53d80,1,1,1.0
039399d5-1963-46af-ac8d-5eae07a42fc8,71,152,0.46710526315789475
03ba792b-ee65-5fee-aa12-bcba0e995ef9,1,1,1.0
03bc453f-4ed9-53a0-b71a-06bd5c9d9e21,4,9,0.44444444444444442
03bd9be3-7963-55ab-b079-7476c577b6d6,1,1,1.0
03d964dd-dc2b-413c-af9f-46ebc7ff589c,19,46,0.41304347826086957
03dbd728-ad16-5bd8-9adc-68b8de8343c6,1,1,1.0
03e4d8a4-e778-5a02-92aa-2d0e718b8a7f,1,1,1.0
03e71fc3-b4b9-5f7b-8064-ae7930def700,1,1,1.0
03efbdd8-a128-4edb-972a-6f1476b89cae,117,244,0.47950819672131145
03ff70ce-4461-5785-8db0-dd2db182b684,1,6,0.16666666666666666
0434d563-6153-5178-9869-804aef569e51,2,3,0.66666666666666663
0445bc19-0543-5871-bb03-907d7a0ee2aa,9,16,0.5625
045218ae-79f8-5668-88f0-5b4f811e2812,1,1,1.0
047c7a0a-f97c-5f64-adb5-52181e361d4e,2,2,1.0
04ba6b17-1055-4f0e-a75e-3cdb0d0d4106,387,887,0.43630214205186019
04c915d4-53b3-5ed4-8436-defc1e193e4b,3,4,0.75
04d8076e-8fd3-5a81-b3fc-c132e1f7a3d3,2,2,1.0
04eeb9ad-595f-5c75-8253-e2964f1ca171,1,1,1.0
050ad045-93ea-558b-8db4-2ab1877f5fa8,1,1,1.0
050ef36a-198e-59db-8c6d-9fca40bf3a7e,1,1,1.0
05111ef2-767b-5118-8289-2204fe3510ef,1,6,0.16666666666666666
055a3b0e-b711-4943-86b9-b9344ff99c26,2,2,1.0
056d18fa-a521-5f7e-998a-9ed08faf9795,1,1,1.0
